"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Co3",2.14106925556416e-73,-0.731801816939154,0.995,0.994,3.9659025820815e-69
"Gm11361",7.76420554962614e-65,3.36951386305705,0.329,0.033,1.43816379395725e-60
"H2-D1",3.56594561787984e-59,0.515717185804884,1,1,6.60520106799882e-55
"Gm10260",9.91204586527761e-59,6.5046240939042,0.222,0.001,1.83600825562537e-54
"Rpl36",7.24972852068927e-53,0.485845569161539,0.998,0.996,1.34286721388727e-48
"Rpl39",9.06786699335837e-47,0.448984558743286,1,0.999,1.67964100317977e-42
"Rpl37",8.2420990993528e-38,0.395946500447884,0.999,1,1.52668401617312e-33
"Tox",6.14765720800592e-37,1.03948052239493,0.711,0.448,1.13873054463894e-32
"mt-Co2",2.09711108744734e-36,-0.455129085581132,0.999,0.996,3.88447886727871e-32
"Ubb",8.60550418521445e-36,-0.499429071450643,0.991,0.999,1.59399754022727e-31
"Plac8",8.95632703812491e-36,-1.23159684299342,0.352,0.625,1.65898045727188e-31
"mt-Co1",1.06495326933509e-33,-0.409665027271278,0.999,0.997,1.97261294078939e-29
"Rps21",2.10503113167124e-31,0.356265189111918,1,0.997,3.89914916519464e-27
"Ifitm3",2.7111291422201e-30,-1.70734620534303,0.116,0.324,5.02182451013429e-26
"Cmss1",1.1044246240286e-29,-0.672534385094701,0.731,0.829,2.04572573108818e-25
"mt-Atp6",6.38217256884861e-29,-0.405828066874188,0.999,0.997,1.18216982492783e-24
"Rpl37a",1.24588467439122e-28,0.315152875559344,1,0.999,2.30775218237486e-24
"Gzma",3.14063786801632e-28,-2.83460805242242,0.052,0.205,5.81740352292663e-24
"Tbc1d4",2.97409204455919e-26,1.91092930081988,0.302,0.109,5.50891069413698e-22
"Gzmb",9.97009030633863e-25,-1.05939414451222,0.498,0.646,1.84675982744311e-20
"Tcrg-C2",1.12668689145807e-24,1.67017861323742,0.333,0.146,2.08696212904779e-20
"mt-Cytb",1.76427337901831e-24,-0.537817995823567,0.885,0.954,3.26796357995561e-20
"Rpl27a",3.68089922567507e-24,0.276469164388741,1,1,6.81812963571794e-20
"H2-Q7",4.01851007398254e-22,-0.419082006320083,0.928,0.952,7.44348621003785e-18
"Rpl30",7.74195257017935e-22,0.257232584440958,1,1,1.43404187457432e-17
"Rps27",9.52449529165694e-22,0.300140992259233,0.999,0.999,1.76422226287362e-17
"mt-Nd1",1.88677316615135e-21,-0.588541524130295,0.747,0.824,3.49486993566215e-17
"Itga4",8.09491990530979e-21,0.510878277922518,0.759,0.555,1.49942201406053e-16
"Fcer1g",1.00578473485768e-20,-1.13233002191116,0.137,0.314,1.86301506437688e-16
"Rplp2",1.16730033749518e-20,0.290087895466193,0.998,0.997,2.16219041514232e-16
"Igkc",1.59277376123213e-20,1.35219574031137,0.291,0.115,2.95029483793027e-16
"Trps1",1.26775052312543e-19,0.778277893984637,0.589,0.382,2.34825429398523e-15
"Rpl34",3.70538381271634e-19,0.244265479809219,1,1,6.86348243629449e-15
"Rpl35",4.35698498127413e-19,-0.476258023241222,0.719,0.766,8.07044328081408e-15
"Rpl18a",8.86618799436497e-19,0.245135930682368,1,1,1.64228400219622e-14
"Clca3a1",9.14614739811417e-19,5.56550633605122,0.068,0,1.69414088255269e-14
"Zeb2",1.34345305595026e-18,-1.29976492359759,0.178,0.351,2.48847809553667e-14
"Klrd1",5.13722006764998e-18,-0.648347302719915,0.552,0.65,9.51567273130807e-14
"Pde4d",1.47057618501278e-17,0.77712039976404,0.587,0.396,2.72394826749918e-13
"Rps18",1.57301570374912e-17,-0.312126040391091,0.999,1,2.9136969880545e-13
"Trgv2",1.89423636668165e-17,1.5052233441894,0.241,0.092,3.50869402200442e-13
"Xist",4.84485149246149e-17,0.468452889758117,0.671,0.478,8.97411841948641e-13
"Rps15a",6.31446714062305e-17,0.219865530441882,1,1,1.16962874845761e-12
"H2-Q6",1.11187447706044e-16,-0.659603373878466,0.443,0.558,2.05952509385905e-12
"Rps28",9.25698252534347e-16,0.30093060049407,0.992,0.985,1.71467087316937e-11
"Ctla4",1.58252899222397e-15,0.503337514964791,0.585,0.399,2.93131845229645e-11
"Uba52",4.3821953337654e-15,0.884083323193578,0.409,0.238,8.11714041673364e-11
"Lgals3",8.19536557700798e-15,-0.83104674137582,0.394,0.542,1.51802756582919e-10
"Themis",8.88592796370283e-15,0.460651266408968,0.879,0.781,1.64594043671668e-10
"Klre1",9.85878034616721e-15,-1.28403584071947,0.116,0.246,1.82614188352055e-10
"Cables1",1.20002114905033e-14,1.0654855102589,0.345,0.186,2.22279917438592e-10
"S100a6",1.40477773856696e-14,0.36912857063957,0.906,0.906,2.60206980514758e-10
"Cd8b1",3.37285579784032e-14,0.469156219081265,0.795,0.652,6.24754079433962e-10
"Rpl10",4.68112073826286e-14,-0.408363668192783,0.817,0.902,8.6708399434843e-10
"Fgf13",3.22817646086363e-13,0.667093051093923,0.499,0.329,5.9795512584577e-09
"Fgl2",4.8243943332725e-13,-1.08684192665462,0.174,0.299,8.93622562352066e-09
"Rpl38",6.38152765585838e-13,0.250548821248924,0.994,0.982,1.18205036769465e-08
"Rbl2",1.27741007709081e-12,0.597833793407882,0.378,0.226,2.36614668579531e-08
"Odc1",1.9162065053458e-12,0.542981631603886,0.484,0.32,3.54938930985203e-08
"Ifi27l2a",2.22303301899319e-12,0.425243296258957,0.93,0.887,4.11772406108109e-08
"Fau",2.27946881936335e-12,0.179560596005972,1,1,4.22226009410672e-08
"Ptpn13",2.81781934719458e-12,1.0335551385333,0.326,0.188,5.21944677680851e-08
"Fos",2.86475263049975e-12,-0.666856374040156,0.245,0.397,5.30638129747468e-08
"Hcst",4.36392723339448e-12,0.36361539803639,0.847,0.726,8.0833024144166e-08
"Srgn",4.41750934493197e-12,-0.316212163795208,0.952,0.982,8.18255255961749e-08
"Rps23",4.79761769736393e-12,0.183877180547439,1,1,8.8866272608272e-08
"Rps27rt",8.83155179090572e-12,0.744987938548919,0.364,0.216,1.63586833822947e-07
"Ltb",1.02708530908742e-11,0.388574945836182,0.786,0.647,1.90247011802263e-07
"Snrpg",1.29210714997313e-11,0.403221568344206,0.793,0.661,2.39337007389522e-07
"Pdcd1",1.62598905576676e-11,0.336428424453054,0.522,0.374,3.01181952799677e-07
"Rpl23",1.84357597118113e-11,0.173777979103191,1,0.999,3.41485577141881e-07
"Rplp1",2.27776729746962e-11,0.175586238288518,1,0.999,4.21910836510298e-07
"Ubash3b",2.61114849728912e-11,-0.925183999755396,0.231,0.345,4.83663036152864e-07
"Cd52",2.74719787474239e-11,0.266687131337532,0.99,0.981,5.08863462338534e-07
"Ifitm2",2.85635656524785e-11,-1.68678063494857,0.062,0.15,5.29082926580859e-07
"Denr",5.21415053875284e-11,0.98451273753301,0.254,0.129,9.65817104293189e-07
"Rps24",8.01046795060144e-11,0.158420060413539,1,1,1.4837789784899e-06
"Rps19",1.07547524293885e-10,0.239059069907838,0.999,0.994,1.99210279249562e-06
"Rpl5",1.16503668437247e-10,-0.373062310570933,0.801,0.842,2.15799745046313e-06
"Gpr183",1.74461896862375e-10,0.485343110621193,0.6,0.449,3.23155771558177e-06
"Chn2",1.86219593823076e-10,-1.63675039469175,0.043,0.122,3.44934553638484e-06
"Tomm7",1.94645585421019e-10,0.489963518122103,0.589,0.44,3.60542017875353e-06
"Btg1",2.26760551569118e-10,0.279188486158346,0.972,0.942,4.20028569671477e-06
"Sntb1",2.74084622829689e-10,0.499695542757595,0.598,0.451,5.07686946867434e-06
"Eno1",4.92385581429955e-10,-0.852521529189301,0.177,0.299,9.12045812482705e-06
"Ywhaq",7.08312492819285e-10,-0.372985707972306,0.396,0.39,1.31200723044916e-05
"Tpt1",8.86992729534188e-10,-0.147132476228983,1,1,1.64297663291618e-05
"Rpl22",1.00368001828693e-09,0.211907629426047,0.992,0.988,1.85911649787289e-05
"Rpl9-ps6",1.2076735921293e-09,0.853093976244053,0.229,0.119,2.23697379470111e-05
"Hif1a",1.24558997472243e-09,0.486862654739857,0.715,0.616,2.30720631017836e-05
"Sh2d1a",1.33324205258323e-09,0.467221715990395,0.547,0.402,2.46956425399992e-05
"Foxn3",1.55012580391229e-09,-0.571921158342901,0.385,0.454,2.87129802658673e-05
"Hspe1",1.55414161439133e-09,0.390151538809604,0.734,0.6,2.87873651233707e-05
"Ddhd2",1.72491033848377e-09,0.923871386193174,0.239,0.126,3.19505141997349e-05
"Gm2000",1.82318866107193e-09,0.898426369635711,0.259,0.143,3.37709235690354e-05
"Mbd2",2.30126033568688e-09,-0.350011907745076,0.623,0.656,4.26262451979281e-05
"Anxa2",2.59303808752822e-09,-0.545514829054476,0.443,0.522,4.80308444952853e-05
"Kdm6a",2.75197359001316e-09,0.238178253421268,0.471,0.348,5.09748068078137e-05
"Gramd1b",3.16921798333448e-09,0.240148600276713,0.456,0.335,5.87034247053045e-05
"Wdr89",3.4811744262666e-09,1.52496454218837,0.125,0.046,6.44817938977361e-05
"Rnf43",4.05591339182907e-09,0.815446689326184,0.233,0.125,7.51276837568498e-05
"Hspa1b",4.46756069206811e-09,-0.765989507395104,0.33,0.433,8.27526266991775e-05
"Clint1",4.53526360998286e-09,0.346133987524169,0.726,0.595,8.40066878477124e-05
"Gm42418",5.24798881474928e-09,-0.268465267323848,1,1,9.72084968156009e-05
"Slc16a6",5.78154747563541e-09,0.733536267742806,0.275,0.159,0.000107091603891195
"Rps13",5.91646135478747e-09,0.148534669029365,1,1,0.000109590613674728
"Rpl27",5.97355697751022e-09,0.159534994025505,1,1,0.000110648195894422
"Cox8a",6.46936554448479e-09,0.285373832938695,0.921,0.894,0.000119832057980492
"Cd6",6.77827197994841e-09,-0.602036014080098,0.395,0.499,0.000125553931884584
"Uimc1",6.99905679990216e-09,0.442079330853465,0.293,0.188,0.000129643529104588
"Btbd11",7.00375630280615e-09,0.47341072407068,0.308,0.195,0.000129730577996878
"Tyrobp",7.66119580827629e-09,-1.07864069034194,0.094,0.188,0.000141908329956702
"Rpl36al",8.28676696973991e-09,0.271250352296551,0.899,0.869,0.000153495784580492
"Foxp1",9.46647043888325e-09,-0.427451927696211,0.653,0.732,0.000175347431939434
"Zbtb20",1.12765520671102e-08,0.301615320745525,0.592,0.458,0.000208875573939083
"Ifitm1",1.16973199180382e-08,-2.44148781150204,0.019,0.07,0.000216669456841822
"Atf7ip",1.23101280846783e-08,0.377182423783399,0.64,0.506,0.000228020502512496
"Gm8909",1.33334345893112e-08,4.31906844074812,0.029,0,0.000246975208897812
"Fam129a",1.4150433159977e-08,0.677040451211135,0.4,0.274,0.000262108473422255
"Mrpl52",1.6240592958637e-08,0.448927031286808,0.408,0.281,0.000300824503372833
"Icos",1.85914841166174e-08,0.535061034313666,0.543,0.411,0.000344370060292104
"Runx2",1.86746663262419e-08,0.403422420177259,0.655,0.525,0.000345910844360979
"Epha3",1.99439103548176e-08,1.50190800579562,0.135,0.055,0.000369421051502287
"Cd74",2.07166831704107e-08,-0.539453193336832,0.082,0.165,0.000383735122365518
"Pnpla7",2.09634293037245e-08,0.6937428760711,0.213,0.118,0.00038830560099289
"Pawr",2.1330504502979e-08,1.75217751294898,0.094,0.03,0.000395104934908679
"Cox7c",2.34309389423828e-08,0.351515063232979,0.785,0.698,0.000434011282029756
"Lax1",2.59643618823291e-08,0.643671532245335,0.368,0.244,0.000480937875146382
"Ftl1",2.63830529027071e-08,-0.405476138410162,0.708,0.79,0.000488693288916844
"Myl12a",2.67280120886008e-08,-0.212370474663829,0.515,0.493,0.000495082967917152
"Snrpf",2.67379228283465e-08,0.367772144892123,0.528,0.396,0.000495266544549463
"Actg1",2.82519530552564e-08,-0.286543129410544,0.976,0.994,0.000523310926442514
"Sqstm1",2.98452838042442e-08,-0.521018140957074,0.374,0.435,0.000552824191906015
"Fyn",4.38438899469074e-08,0.275722645156852,0.852,0.753,0.000812120373486566
"Rpl41",4.41779968714194e-08,0.168600867321218,0.999,0.999,0.000818309036049302
"Rnaset2a",5.43693627467201e-08,0.893833226545641,0.234,0.134,0.0010070837061575
"Abcb1a",5.87712480089412e-08,0.418547854907655,0.63,0.504,0.00108861982686962
"BC023719",7.51923230365784e-08,4.23160559949778,0.026,0,0.00139278739960654
"Emb",7.66238742695281e-08,0.327259889080625,0.745,0.628,0.00141930402309447
"Smg7",9.04214237561839e-08,0.161652065308804,0.364,0.275,0.00167487603223579
"Neat1",9.15603147641624e-08,-0.571617080980433,0.328,0.417,0.00169597171037658
"Ndufa5",1.01456980726669e-07,0.517656658056548,0.21,0.128,0.0018792876540001
"Gabpb1",1.04745959334529e-07,0.549618644381761,0.198,0.113,0.00194020940475349
"Lrch1",1.07091350844697e-07,-0.144630968385228,0.515,0.467,0.00198365309169633
"Dapk2",1.17732414538996e-07,0.711934559028345,0.223,0.126,0.00218075751450581
"Serpinb6b",1.30740695176286e-07,-0.808925880228272,0.188,0.247,0.00242170989675034
"Slc4a7",1.37055699104547e-07,0.373448826722611,0.397,0.281,0.00253868271451353
"Runx3",1.40298709317914e-07,0.364928989819769,0.713,0.597,0.00259875299269572
"Bcl2a1d",1.60765358552915e-07,-0.911519342600815,0.084,0.119,0.00297785673647565
"H2-T23",1.72115184834293e-07,-0.365878821478046,0.524,0.579,0.0031880895686856
"Dnajc9",1.81632144214585e-07,0.530411136353398,0.35,0.235,0.00336437220728676
"Klra7",1.8752648910969e-07,-2.89767741744718,0.01,0.049,0.00347355315777878
"Gm44174",2.1020081312754e-07,0.356588479009123,0.511,0.387,0.00389354966156142
"Rnf138",2.12335410870632e-07,0.321830024985807,0.72,0.604,0.00393308881555672
"Lclat1",2.38205325926495e-07,0.883682296077476,0.193,0.103,0.00441227725213647
"Ms4a6b",2.40289241910081e-07,0.152517179611793,0.924,0.848,0.00445087762790044
"Gprin3",2.44010883097614e-07,0.520273927859833,0.386,0.268,0.0045198135876171
"Eif1",2.55242934067047e-07,-0.178136007118752,0.973,0.996,0.00472786486772392
"Ctla2a",2.92013991416064e-07,-0.326760613745926,0.828,0.85,0.00540897516299975
"Il12rb2",3.1390550316793e-07,-0.713788069851747,0.256,0.353,0.00581447163517957
"Rpl36a",3.19674053682227e-07,0.296710044512522,0.851,0.786,0.0059213224963559
"Akt3",3.26523148594965e-07,0.315599524945862,0.538,0.415,0.00604818828142453
"Psmb8",3.32236649403652e-07,0.258933510078893,0.912,0.869,0.00615401945690384
"Txnip",3.42047772705585e-07,0.344602301382962,0.644,0.522,0.00633575089382556
"Gramd3",3.53515414125984e-07,0.302371972627069,0.885,0.812,0.00654816601585559
"Igflr1",3.64276398337022e-07,-1.09359762742244,0.08,0.15,0.00674749172639666
"Arhgap26",3.67000801022083e-07,-0.34050429915131,0.651,0.685,0.00679795583733204
"Ccl3",3.79330401445063e-07,-1.34436811799612,0.079,0.138,0.00702633702596691
"Psma2",3.90649537502175e-07,-0.195259442746529,0.526,0.501,0.00723600138315279
"2410006H16Rik",4.29003376355487e-07,0.289472789808807,0.754,0.643,0.00794642954023269
"Uty",4.84684624436935e-07,-1.09785616807499,0.076,0.15,0.00897781329844534
"Eif2ak3",4.91717449092458e-07,0.58599356664422,0.374,0.262,0.0091080823095396
"Rbpj",5.50250767823818e-07,-0.555608184545707,0.27,0.305,0.0101922949724006
"4933406I18Rik",5.91973397170443e-07,0.726043667962993,0.268,0.167,0.0109651232357881
"A430093F15Rik",6.01272838301607e-07,-0.80745739419971,0.172,0.249,0.0111373767838607
"Unc45a",6.79798391236131e-07,-0.334332075541618,0.12,0.115,0.0125919056008668
"Nfatc1",7.22844208373518e-07,0.460976652313972,0.45,0.332,0.0133892432717027
"Slc3a2",7.36937167630504e-07,-0.339827308091929,0.495,0.521,0.0136502871560198
"1500004A13Rik",7.69091173833556e-07,1.26653938960717,0.105,0.042,0.014245875812919
"Apbb1ip",7.82891575382038e-07,0.169300940596561,0.581,0.475,0.0145015006508015
"Fryl",8.72415794130505e-07,0.135726949554957,0.834,0.738,0.0161597577546793
"Yipf4",8.97765690137773e-07,0.455202776679514,0.28,0.188,0.016629313878422
"Usp22",9.28932078522031e-07,1.0451924752669,0.091,0.037,0.0172066088904636
"Efr3a",1.03688389033688e-06,0.231605599497782,0.386,0.29,0.0192062003007101
"Zfp292",1.04764165236451e-06,-0.123237117862315,0.631,0.583,0.0194054663267478
"Camk2n1",1.08660050668173e-06,0.656021431092487,0.216,0.128,0.0201271011852657
"Camk4",1.16931133529149e-06,-0.350949600413051,0.626,0.641,0.0216591538636044
"Ddx23",1.2176486348336e-06,0.511098428064748,0.167,0.1,0.0225545056630228
"Tab2",1.2215789936183e-06,0.361974622458346,0.475,0.359,0.0226273076987919
"Axin1",1.27570229120042e-06,0.273519241231177,0.213,0.149,0.0236298335399053
"Slc15a2",1.33388135653327e-06,1.48421263388124,0.086,0.03,0.0247074843670658
"Metrnl",1.34898296916408e-06,-1.05379661936447,0.075,0.146,0.0249872115378263
"Rab3ip",1.36248841246585e-06,0.771931572216566,0.22,0.129,0.0252373728641049
"Chd3",1.41243593353068e-06,0.509733154562277,0.356,0.247,0.0261625507967887
"Snrpe",1.43273236971135e-06,0.290581374127367,0.655,0.54,0.0265385016841633
"Plekhm3",1.45937982696937e-06,0.872063212810642,0.197,0.112,0.0270320925349536
"Lilrb4a",1.53618628106958e-06,0.175174729196304,0.28,0.207,0.0284547784842519
"Fam241a",1.57723840217132e-06,-0.937213464718361,0.132,0.213,0.0292151869234195
"Cdk13",1.58257157997243e-06,0.435026996141497,0.41,0.298,0.0293139733758293
"Cox7a2",1.6458065445606e-06,0.357136481581641,0.559,0.442,0.030485274624896
"Crim1",1.65537273870826e-06,0.260425875534284,0.431,0.327,0.0306624692390931
"Eomes",1.6820656841599e-06,0.694577575840328,0.241,0.147,0.0311569026676939
"Thy1",1.68345239994714e-06,0.187860546878663,0.57,0.466,0.0311825888042209
"H2-Q1",1.69355032764593e-06,3.85609646440558,0.021,0,0.0313696327189855
"Cox4i1",1.82332102936176e-06,-0.243446746717293,0.769,0.777,0.033773375426868
"Gem",1.88609939064429e-06,-0.867930074053132,0.166,0.249,0.0349362190129042
"Satb1",1.98034462327104e-06,-0.565956585541415,0.305,0.385,0.0366819234568495
"Ier3ip1",2.10822641731782e-06,0.544937670696759,0.324,0.22,0.039050677927978
"Slc25a3",2.15617513869031e-06,-0.25291415751313,0.548,0.557,0.0399388320939606
"H2-T22",2.18204719142568e-06,-0.406041251430058,0.482,0.54,0.0404180601267779
"Pde3b",2.19530880582726e-06,0.31138467347678,0.791,0.699,0.0406637050103384
"Gimap4",2.31877483636768e-06,-0.273378642951883,0.706,0.729,0.0429506662940386
"Plek",2.32122186120729e-06,-0.59908370396205,0.231,0.281,0.0429959925351427
"Ccng1",2.41755206980473e-06,0.636301154555167,0.14,0.077,0.044780316988993
"Brms1",2.4357253019601e-06,0.129533690237913,0.174,0.129,0.0451169397682069
"Aim2",2.67591241226203e-06,0.109327695209011,0.432,0.347,0.0495659256123296
"Txlng",2.72799155621275e-06,0.129243881868105,0.192,0.143,0.0505305875957288
"Rps12",2.74298896601208e-06,0.140094306641512,1,1,0.0508083846174417
"Kat2b",2.89620922780844e-06,0.346038772698311,0.374,0.272,0.0536464835266957
"Setbp1",3.29420748277303e-06,0.462420082352203,0.396,0.287,0.0610186052034048
"Rcan3",3.31296323132617e-06,1.37844698782705,0.052,0.016,0.0613660179338546
"Ndufa10",3.37782788165069e-06,0.112859321981033,0.186,0.141,0.0625675058518157
"Ssbp2",3.39909766301765e-06,0.373516224770498,0.4,0.293,0.0629614860120759
"Fam49b",3.48191341375276e-06,-0.261410852384901,0.778,0.799,0.0644954821629423
"Gng5",3.55971781139699e-06,0.269867707108345,0.753,0.658,0.0659366530205064
"Ikzf2",3.72715016624118e-06,-0.205193020784977,0.276,0.214,0.0690380025292854
"Kdm7a",3.76224546838075e-06,-0.288219271012947,0.469,0.476,0.0696880728108166
"Nfat5",3.93922816707611e-06,0.141210579803337,0.433,0.347,0.0729663233387507
"Stambpl1",4.07429474519876e-06,-0.177134661319852,0.143,0.126,0.0754681615653166
"Vmp1",4.19935362685198e-06,0.34009022977618,0.524,0.411,0.0777846272301793
"Gimap6",4.39028051801066e-06,-0.242962247816891,0.74,0.74,0.0813211660351115
"Dock8",4.63624767567008e-06,0.256199013619713,0.712,0.606,0.0858772156964368
"Coq10b",4.6585113272261e-06,-0.244058258732562,0.285,0.271,0.086289605314209
"mt-Nd2",4.67203029364679e-06,-0.279954992508942,0.785,0.808,0.0865400171292195
"Mink1",4.73423530972961e-06,0.678121330249794,0.199,0.118,0.0876922406421216
"Psmd5",4.77772588742555e-06,0.588927600920339,0.104,0.057,0.0884978166127835
"Paics",4.93330380871762e-06,0.462443089090487,0.135,0.083,0.0913795864488764
"Rraga",4.97260639220986e-06,-0.195209067557415,0.101,0.094,0.0921075882029033
"Plgrkt",4.9966887413815e-06,-0.284534868478936,0.287,0.287,0.0925536655566095
"Serinc3",5.34256338368229e-06,-0.212717461405261,0.541,0.528,0.0989603015559471
"Ice1",5.3856370795892e-06,0.746993624109095,0.13,0.068,0.0997581556252308
"Smim20",5.4814842419597e-06,0.158849257062468,0.095,0.068,0.10153353261382
"Tex14",5.48812803938519e-06,-1.01558452827123,0.091,0.146,0.101656595673532
"Cdk5rap1",5.48918842135513e-06,-1.55039374828293,0.023,0.061,0.101676237128761
