"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rps18",1.4647964888894e-77,-0.709290226653245,1,1,2.71324253636984e-73
"H2-D1",6.79382063873775e-68,0.816895187297712,1,0.978,1.25841939691339e-63
"Gm11361",1.86826933176464e-56,3.21647989911245,0.554,0.075,3.46059528322764e-52
"Gm10260",1.93776583386784e-50,6.71773169344437,0.399,0.002,3.58932365407339e-46
"Rpl35",4.92928127805563e-44,-0.818229012246341,0.938,0.978,9.13050771134245e-40
"Rpl13a",9.03100141965637e-41,-0.583769868577447,0.986,0.998,1.67281239296295e-36
"Rpl10",1.44591448091378e-34,-0.579200010870705,0.996,0.993,2.6782673929966e-30
"Rpl12",2.09568381570217e-29,-0.520581445971855,0.998,0.991,3.88183513182513e-25
"Xist",1.42998451053879e-27,-1.59273209949317,0.216,0.546,2.64876030887099e-23
"Rpl5",1.86410889140479e-27,-0.625821941383477,0.948,0.971,3.45288889954909e-23
"Rps6",2.19838581853111e-25,-0.490161158196963,0.986,0.985,4.07207005166517e-21
"Hsp90ab1",2.87042147668374e-22,-0.521332448119729,0.98,0.993,5.31688170126129e-18
"Klri2",3.82433750819936e-22,-2.22712675236317,0.081,0.33,7.08382036643768e-18
"mt-Co3",8.4506547715488e-22,-0.517173612226866,0.992,0.962,1.56531478333398e-17
"Rpl17",9.41091795156522e-22,-0.355300089197362,1,0.998,1.74318433216843e-17
"Rack1",1.11824396490541e-21,-0.421615006845294,0.988,0.993,2.07132329619429e-17
"Emb",4.96707365819906e-21,0.944624713220345,0.891,0.732,9.20051053708211e-17
"Rpl14",4.25543969927994e-20,-0.423399995667916,0.982,0.993,7.88235095497624e-16
"Ubb",1.29586878836652e-19,-0.55718927499171,0.97,0.978,2.4003377566913e-15
"Klrb1b",2.88084169987354e-19,-1.31041391764232,0.421,0.65,5.33618308067576e-15
"Rpsa",4.24386295473884e-19,-0.339888794656521,1,1,7.86090735106275e-15
"Rpl7a",1.08116505651269e-17,-0.377926795946315,0.984,0.991,2.00264203417846e-13
"Rps14",1.23085921454983e-17,-0.280700744365603,1,1,2.27992052311064e-13
"Rpl6",1.30640855444622e-17,-0.340156288309283,0.996,0.998,2.41986056540073e-13
"Zfp36l2",4.82055227233625e-17,0.790694524724075,0.778,0.564,8.92910897404845e-13
"Rps9",5.70442418696976e-17,-0.277177068052614,1,1,1.05663049215241e-12
"Eef1a1",6.73737606668617e-17,-0.284950528618818,1,1,1.24796416883228e-12
"Klra1",1.36319085805704e-16,0.780252778002429,0.458,0.179,2.52503842637906e-12
"H2-K1",2.64377094297745e-16,0.325519950996821,1,0.985,4.89705691767714e-12
"Rpl13",2.76178605346399e-16,-0.261574528124605,1,1,5.11565630683135e-12
"Rps12",8.47431361527756e-16,-0.29808209629308,1,0.998,1.56969711095786e-11
"Rpl32",1.51289689638782e-15,-0.260241827704631,1,1,2.80233892117916e-11
"Zbtb20",5.49220227459273e-15,0.605218419819346,0.913,0.79,1.01732062732281e-10
"Ifi203",1.08664423300688e-14,0.892802249627851,0.726,0.522,2.01279111279864e-10
"Zyg11b",1.56837761819175e-14,1.16976340020542,0.534,0.303,2.90510586217659e-10
"Ssh2",2.53268231930434e-14,0.89005678700717,0.716,0.491,4.69128746004742e-10
"Tgfb1",2.66804593104744e-14,0.733688464075987,0.806,0.631,4.94202147807918e-10
"Ccnd3",3.80222095699708e-14,0.779271018834982,0.798,0.582,7.04285387864568e-10
"Arhgap15",4.88872773564385e-14,0.564536818342833,0.899,0.737,9.0553903847331e-10
"Rps15",7.88730194926537e-14,-0.406913965341807,0.978,0.991,1.46096494006242e-09
"Tut4",8.27304913995129e-14,0.617257608828518,0.845,0.681,1.53241689219318e-09
"Vps37b",1.11718515601871e-13,0.582512424563996,0.911,0.779,2.06936206449347e-09
"Rplp0",1.17157961164368e-13,-0.288358170041628,1,0.998,2.17011691464758e-09
"Dennd4a",1.26737386395883e-13,0.372296231446078,0.988,0.945,2.34755660821095e-09
"Rpl11",1.36920466398315e-13,-0.249685168639432,1,0.998,2.53617779909598e-09
"Tpt1",1.60938539438525e-13,-0.245027237669691,1,1,2.98106456601979e-09
"Rps3a1",3.14866050436574e-13,-0.26754894281428,0.998,1,5.83226385223665e-09
"Eno1",3.24642453893866e-13,-0.953025042626538,0.339,0.551,6.01335217347608e-09
"Dgat1",3.65732735004254e-13,0.981105268232038,0.603,0.385,6.7744674504838e-09
"Rpl9",4.76093742656037e-13,-0.261200396336106,1,1,8.81868439521777e-09
"Rps5",4.96599475308624e-13,-0.238694125391179,1,1,9.19851208114164e-09
"Epb41",5.93283524748917e-13,0.784050796948316,0.714,0.511,1.09893907289242e-08
"Eif2s3y",6.18218006916991e-13,1.31403520853512,0.355,0.153,1.14512521421234e-08
"Ltb",1.62802966823177e-12,0.655810060580145,0.776,0.591,3.01559935446572e-08
"Gapdh",2.13764940249289e-12,-0.438911847462589,0.909,0.956,3.95956798823758e-08
"Rpl10a",3.05100184567413e-12,-0.281471851898334,1,1,5.6513707187422e-08
"Cd7",3.4675219313149e-12,1.85875108279724,0.262,0.091,6.42289087337458e-08
"Rbm3",5.03420686186501e-12,-0.507963624201307,0.893,0.927,9.32486137023256e-08
"Rpl4",5.04449202596703e-12,-0.335495166196955,0.968,0.978,9.34391257969874e-08
"Irak2",6.23830873533815e-12,0.827616212231263,0.671,0.487,1.15552192704669e-07
"Ptpn22",6.73361627387157e-12,0.49305100805997,0.929,0.843,1.24726774240923e-07
"Ptprc",6.9760513120332e-12,0.365154570733048,0.99,0.949,1.29217398452791e-07
"Stat4",1.57559578122757e-11,0.584937613581524,0.853,0.717,2.91847606556783e-07
"Rps27a",1.85317179221678e-11,-0.241264466344687,1,1,3.43263011072315e-07
"Rps8",2.95515700300175e-11,-0.244197220927918,1,1,5.47383731666014e-07
"BC023719",3.33415324650093e-11,5.42057150370595,0.093,0,6.17585205849368e-07
"Rpl7",8.94100416779834e-11,-0.25383321538039,0.998,0.993,1.65614220200129e-06
"Rnaset2b",1.03506134615615e-10,1.07342473189879,0.389,0.204,1.91724413148503e-06
