"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Plin2",2.27940549139168e-80,1.1519930935576,0.911,0.856,4.22214279170481e-76
"Ucp2",2.78703515976309e-79,1.01090236490775,0.866,0.691,5.16242522642917e-75
"Ubb",9.30357980625375e-72,-0.731463396159611,0.931,0.976,1.72330208751238e-67
"mt-Co3",2.88804041894041e-63,-0.511605216028666,0.997,0.999,5.34951726800331e-59
"Gm11361",1.02844689430424e-56,3.60912476438231,0.165,0.014,1.90499218231975e-52
"Gm10260",1.01406013152849e-55,7.84185657414316,0.104,0,1.87834358163023e-51
"mt-Co1",2.7118370155641e-46,-0.342524226591927,1,1,5.02313570392939e-42
"H2-D1",1.32265002733208e-43,0.458625921048628,0.995,0.994,2.44994464562721e-39
"Cd44",1.9860034368911e-43,0.733158542553384,0.911,0.825,3.67867416615338e-39
"Rpl10",1.13510270298058e-35,-0.485429950824046,0.896,0.938,2.10255073673093e-31
"H2-T22",4.14552461080567e-33,-0.905039831024914,0.407,0.582,7.67875523659535e-29
"Cmss1",2.03105080843584e-30,-0.644804735605481,0.659,0.806,3.76211541246571e-26
"Slfn4",4.39018606222997e-30,-0.596109340538512,0.639,0.808,8.13194164306857e-26
"mt-Co2",1.11097329087023e-29,-0.312741665753004,1,1,2.05785582667893e-25
"Rpl37a",1.86761017615522e-27,0.335736308401162,0.99,0.989,3.45937432929232e-23
"H2-T23",2.98310106795137e-27,-0.553183819081612,0.702,0.803,5.52559810816633e-23
"Pdk4",5.86008999530362e-27,7.95818069211039,0.05,0,1.08546446983009e-22
"Cbfa2t3",8.04704776256168e-26,1.94013925181753,0.161,0.047,1.4905546570593e-21
"Noct",1.37187128849209e-25,1.04677074124098,0.408,0.252,2.54111718767389e-21
"Jdp2",4.61467299873033e-25,1.26237915550448,0.336,0.178,8.54775879554819e-21
"mt-Atp6",6.43560164453702e-25,-0.298107240201044,1,0.998,1.19206649261759e-20
"BC023719",1.16578278549379e-23,5.66641456773328,0.049,0,2.15937945357014e-19
"Gab1",8.46662592595798e-23,0.750430855798592,0.615,0.49,1.5682731202652e-18
"Eno1",2.15940227157051e-22,-0.713632260959503,0.446,0.595,3.99986082763005e-18
"Shtn1",6.56253790078584e-22,1.44131670395209,0.212,0.095,1.21557889536256e-17
"Isg15",3.71501073340219e-21,-0.429176961823481,0.905,0.952,6.88131438148087e-17
"Il15",4.36435626406677e-21,-0.6654976157267,0.415,0.585,8.08409710793089e-17
"Lcp1",4.55864410850542e-21,0.401131722106474,0.89,0.783,8.44397648218459e-17
"Ftl1",7.23652819638822e-20,-0.496013064613221,0.996,0.999,1.34042211781699e-15
"Rps27",2.4115485710084e-19,0.302455889977431,0.97,0.967,4.46691141807886e-15
"Rpl35a",3.70951083162742e-19,0.266774856105416,0.997,0.993,6.87112691342347e-15
"Tgm2",5.93660960273502e-19,0.644806595063769,0.718,0.629,1.09963819671461e-14
"Sat1",1.51474499858257e-18,-0.448300145363659,0.899,0.908,2.8057621608745e-14
"Rsad2",2.23981888048524e-18,-0.51967588381302,0.663,0.786,4.14881651232281e-14
"Ifit2",2.33075737079421e-18,-0.488017885029199,0.592,0.742,4.31726187792211e-14
"Actb",2.94156393865357e-18,0.268379919329968,1,1,5.44865888356801e-14
"Rpl37",1.76308948767937e-17,0.309185916506369,0.967,0.953,3.2657706580285e-13
"Rps26",5.03212782408993e-17,0.328741817222948,0.948,0.919,9.32101036856177e-13
"Rpl41",9.03817319542145e-17,0.233996251747267,0.997,0.993,1.67414082098791e-12
"Hspa1a",2.62035529087363e-16,-0.852939737033122,0.462,0.57,4.85368410528522e-12
"Rpl35",2.70316284222907e-16,-0.409678557024025,0.668,0.733,5.00706853266091e-12
"Aldh9a1",2.98251899690558e-16,1.29941992511785,0.178,0.084,5.52451993796821e-12
"Tm6sf1",4.78686562934671e-16,0.571394375304863,0.586,0.451,8.86671120523891e-12
"Slc16a10",4.8788408709835e-16,0.976705055195511,0.428,0.302,9.03707694532273e-12
"Tgfbi",7.4712176074806e-16,0.404622024834121,0.917,0.859,1.38389363743363e-11
"Usp18",8.13830622163599e-16,-0.54709251333657,0.439,0.586,1.50745846143363e-11
"Rps18",8.31915826132888e-16,-0.367710487699182,0.933,0.952,1.54095768474595e-11
"Ms4a4c",1.15629683322893e-15,-0.277175879140118,0.944,0.969,2.14180862418995e-11
"Ifit3",1.47434875056091e-15,-0.484925370084879,0.6,0.73,2.73093619066398e-11
"Arpc4",2.90535712679034e-15,0.493404529133657,0.61,0.472,5.38159300595374e-11
"Fbxl5",3.10333125087771e-15,0.700714355158951,0.585,0.474,5.74830047600078e-11
"Rps21",5.22205472501322e-15,0.287807641173808,0.958,0.952,9.67281196714198e-11
"Hspa1b",5.71413923038923e-15,-0.971863864926917,0.312,0.436,1.058430009645e-10
"Picalm",8.14553128511168e-15,0.332660756409316,0.943,0.904,1.50879675994124e-10
"Fcgr1",9.063957355844e-15,-0.334588529050907,0.841,0.897,1.67891682102298e-10
"Npc2",1.52591123442785e-14,-0.24359343833051,0.994,0.994,2.82644537953071e-10
"Rpl36",1.82189464502171e-14,0.314633564410465,0.947,0.91,3.37469545097371e-10
"Epsti1",2.74444080758717e-14,-0.312486838393836,0.846,0.896,5.08352770789371e-10
"Ifitm3",7.32940522486974e-14,-0.223527865974149,0.998,0.998,1.35762572980262e-09
"Mndal",1.21646114195661e-13,-0.275742926946011,0.887,0.933,2.25325097324623e-09
"Atp5e",1.63079978252083e-13,0.302186473494946,0.886,0.819,3.02073043716333e-09
"Rpl39",1.908408000649e-13,0.280262034984457,0.978,0.968,3.53494413960215e-09
"Ms4a6d",3.06559473812381e-13,-0.301426181075862,0.872,0.918,5.67840113342673e-09
"Ifit1",4.96936199804461e-13,-0.448829308577788,0.546,0.674,9.20474922897803e-09
"Capg",6.00847423227454e-13,-0.338047991253048,0.723,0.812,1.11294968204421e-08
"Igkc",6.31741584962717e-13,1.45088156798763,0.131,0.056,1.17017493782644e-08
"Tmsb10",8.23614099743038e-13,-0.270831692247196,0.98,0.991,1.52558039695403e-08
"Itm2b",8.61994548675385e-13,-0.262669060007835,0.965,0.974,1.59667250251142e-08
"Lpcat3",1.20661462367086e-12,1.23906792693557,0.151,0.072,2.23501226742554e-08
"Hif1a",1.90952799026272e-12,0.347941798348714,0.839,0.753,3.53701869636363e-08
"Btg1",2.04557198675604e-12,0.318557255605644,0.97,0.942,3.78901299106821e-08
"Cxcl2",2.93204132878841e-12,1.03530343725501,0.347,0.253,5.43102015331478e-08
"Pde7b",3.09330486842534e-12,-0.211334351214813,0.812,0.9,5.72972860778425e-08
"Cd164",3.28327804782726e-12,-0.571778562319984,0.349,0.47,6.08161592799043e-08
"Lgmn",3.31971733211566e-12,-0.381876401141469,0.759,0.815,6.14911241427783e-08
"Bst1",4.25740513528605e-12,0.597579696173831,0.428,0.308,7.88599153209036e-08
"Rpl13a",4.2725655609229e-12,-0.304871319855114,0.845,0.878,7.91407318849748e-08
"Sgms1",6.02804605449929e-12,0.842130501848409,0.331,0.226,1.1165749706749e-07
"Gda",1.07961933037657e-11,0.429921949351982,0.773,0.707,1.99977888565652e-07
"Acot1",1.21398392730943e-11,4.13036166749307,0.023,0,2.24866242855526e-07
"Rsrp1",1.69594156525885e-11,-0.38414461325178,0.633,0.722,3.14139256132898e-07
"Cd36",2.30603544216538e-11,1.84160043654091,0.107,0.045,4.27146944952293e-07
"Rplp2",2.41165927822153e-11,0.227871771913602,0.984,0.976,4.46711648104975e-07
"Itpkb",3.0420818499033e-11,0.428857067915314,0.66,0.542,5.63484821057589e-07
"Clca3a1",4.42805556741604e-11,5.33199552866273,0.019,0,8.20208732752473e-07
"Chd7",5.64734534168189e-11,0.380846142956117,0.706,0.596,1.04605777763974e-06
"Ly6i",6.2427415011291e-11,0.854869145595997,0.298,0.221,1.15634300825414e-06
"Ly86",6.91131154901477e-11,-0.398860739577867,0.592,0.686,1.280182238224e-06
"Plod3",7.50693598288754e-11,0.605315163433808,0.357,0.262,1.39050975211026e-06
"Cox6c",7.58246689531074e-11,0.290475492814687,0.825,0.739,1.40450034301841e-06
"Papss2",8.15978692605097e-11,1.46265873576398,0.112,0.05,1.51143733231242e-06
"Laptm5",8.53059581377382e-11,0.230414272144749,0.954,0.904,1.58012226258532e-06
"Slc15a2",8.84686334959959e-11,1.4013888640804,0.108,0.044,1.63870449824633e-06
"Atp6v0c",1.06235949045963e-10,-0.261912209458095,0.942,0.937,1.96780848417838e-06
"Man2a1",1.10071903381366e-10,0.392421984523408,0.764,0.688,2.03886186633304e-06
"Apoe",1.12561834038571e-10,-0.433758395580621,0.582,0.675,2.08498285189646e-06
"Fam107b",1.19164353015442e-10,0.675772622431519,0.38,0.267,2.20728131090503e-06
"Nr4a1",1.2745445452272e-10,0.533663911087678,0.488,0.379,2.36083886112434e-06
"Trem1",1.86951155438607e-10,0.622781698084283,0.325,0.216,3.46289625218932e-06
"Irf7",1.95355004568464e-10,-0.274613713489757,0.815,0.884,3.61856074962165e-06
"AW011738",2.55404604090233e-10,-0.823680021486344,0.195,0.283,4.73085948156338e-06
"Gpd2",3.17112650637423e-10,0.609393023037018,0.443,0.341,5.87387762775699e-06
"Antxr2",3.22988716762139e-10,0.522189127611025,0.533,0.429,5.9827200005851e-06
"Ccr2",5.2047318909614e-10,0.349751600667999,0.765,0.703,9.64072488162781e-06
"Mxd1",5.30216351928678e-10,-0.273393921800532,0.856,0.876,9.8211974867749e-06
"Cytip",5.68945815789237e-10,0.38283554904429,0.724,0.647,1.0538583345864e-05
"Pde3b",5.7062515104191e-10,0.527054836294128,0.454,0.342,1.05696896727493e-05
"Cxcl3",6.17127397820744e-10,2.05742020395387,0.073,0.03,1.14310507898336e-05
"Chchd2",6.45605734545994e-10,0.210809600691777,0.935,0.875,1.19585550209955e-05
"Gpcpd1",7.10685060450049e-10,0.618119809537804,0.39,0.29,1.31640193747162e-05
"Pam",7.22375622896755e-10,1.39757174929806,0.105,0.045,1.33805636629166e-05
"Spag9",8.24816536657115e-10,0.311209683954982,0.842,0.797,1.52780767084997e-05
"Lgals3",8.42299870827692e-10,-0.261100723528963,0.99,0.994,1.56019205073413e-05
"Cd74",8.59687433568723e-10,0.452907220621193,0.769,0.706,1.59239903319935e-05
"Rbm3",9.37901668720166e-10,-0.246305900669758,0.831,0.836,1.73727526097036e-05
"Gm8909",1.00738732530911e-09,5.13036166749307,0.017,0,1.86598354267007e-05
"Sgk1",1.03532489495486e-09,0.799316985928733,0.276,0.19,1.91773230292488e-05
"Rps28",1.13023632155091e-09,0.228559622210659,0.97,0.956,2.09353673840874e-05
"H2-Q2",1.16037465713072e-09,4.45228976238044,0.021,0,2.14936197740323e-05
"Herc6",1.33979185207208e-09,-0.294874335910675,0.67,0.761,2.48169644759312e-05
"mt-Nd1",1.43380959882267e-09,-0.279099577133683,0.802,0.832,2.65584551989923e-05
"Gk",1.66574751994543e-09,0.638301747990386,0.367,0.267,3.08546413119492e-05
"Psen2",1.72902128218541e-09,0.794494381647839,0.217,0.137,3.20266612099203e-05
"Ltb",1.7915817120888e-09,0.82271779861196,0.127,0.062,3.31854680530209e-05
"Elmo2",1.89540423904241e-09,0.753985788583336,0.23,0.143,3.51085727197826e-05
"Ifitm2",2.02074925295227e-09,-0.230451954906414,0.96,0.965,3.74303384124349e-05
"Slamf7",2.24837825503008e-09,-0.512880478841485,0.38,0.487,4.16467104179222e-05
"Abhd12",2.79045483384891e-09,0.818394682655913,0.236,0.167,5.16875948873834e-05
"Myo1f",3.06572604289907e-09,-0.47974573092711,0.401,0.493,5.67864434926195e-05
"Ifit3b",3.15133261960945e-09,-0.599931791404918,0.238,0.343,5.83721341130258e-05
"Cxcl16",3.15514048119083e-09,0.627757457491159,0.349,0.253,5.84426671330977e-05
"Tuba1b",3.20760672084095e-09,0.551494817867158,0.391,0.293,5.94144992901369e-05
"Wdr89",3.62038751353716e-09,1.18480945151545,0.106,0.047,6.70604379132488e-05
"Snrpg",4.08894668196513e-09,0.344620558541533,0.62,0.511,7.573955939004e-05
"Ywhah",4.38459292592723e-09,0.432924437513506,0.525,0.448,8.12158147669501e-05
