"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm11361",6.59028907676405e-79,3.6442862459308,0.408,0.04,1.22071924568901e-74
"Gm10260",4.39654370554462e-67,5.97323476849593,0.284,0.004,8.1437179057803e-63
"H2-Q7",3.20431599597261e-66,-0.864740235077982,0.896,0.978,5.93535451934007e-62
"Rpl13a",2.18564178335154e-53,-0.563564226550718,0.997,0.999,4.04846427530206e-49
"Rps18",7.90995689983526e-49,-0.492582945064912,1,1,1.46516131655649e-44
"H2-D1",8.63975700528034e-43,0.456659242755026,1,1,1.60034219008808e-38
"Ubb",1.00200067509702e-34,-0.512876852325991,0.977,0.996,1.85600585048222e-30
"H2-Q6",5.33004161277868e-32,-0.990300843830398,0.427,0.698,9.87283607934994e-28
"Stat4",1.54649282927008e-30,0.94653197495646,0.87,0.701,2.86456866765697e-26
"H2-T22",1.85640926397921e-28,-0.856251069718337,0.561,0.773,3.43862687966869e-24
"Xist",3.43270827052312e-28,1.91322329911735,0.292,0.085,6.35840552948998e-24
"Klrc2",1.01475792294099e-27,0.939721442839567,0.637,0.371,1.8796361006636e-23
"Lgals3",1.74219781380817e-27,-0.676651311274915,0.674,0.854,3.22707301051687e-23
"Ly6c2",1.83714144768937e-26,-0.582252446788705,0.826,0.952,3.40293710355502e-22
"Gzmb",3.71965730812228e-26,-0.673381463766288,0.787,0.936,6.88992123183491e-22
"Tpt1",1.03792735480973e-22,-0.227955850292665,1,1,1.92255283931406e-18
"Ugcg",1.50989474625237e-21,-0.657933653275112,0.781,0.881,2.79677803848327e-17
"Rpl35",3.4940108760944e-21,-0.491267462483979,0.856,0.926,6.47195634578966e-17
"Pdk4",5.48971537517579e-21,7.53939967376296,0.087,0,1.01685997894381e-16
"Klri2",6.2358341880118e-21,-3.63926517724351,0.019,0.165,1.15506356664543e-16
"Dlg2",1.02240697348435e-20,1.07483868447072,0.413,0.196,1.89380443698506e-16
"Abcb9",1.11707384657276e-20,-1.06731110302856,0.241,0.466,2.06915588600672e-16
"Tmem163",8.66186329084502e-20,-0.568176730615561,0.703,0.868,1.60443693736322e-15
"Emb",9.71507927234367e-20,1.514025462062,0.432,0.234,1.79952413361622e-15
"BC023719",1.66252645358112e-19,5.44155235036482,0.084,0.001,3.07949774996831e-15
"Spp1",1.70494958141053e-19,2.56507306765239,0.328,0.153,3.15807810964673e-15
"Cmss1",2.32429134447722e-19,-0.533356668672352,0.769,0.872,4.30528485737515e-15
"Bach2",3.14635419534368e-18,0.937396553241636,0.548,0.34,5.82799187603509e-14
"Plin2",4.69526386547023e-18,2.26175800518768,0.323,0.154,8.6970372580105e-14
"Nfkbia",6.59405006105178e-18,0.806055312329126,0.621,0.421,1.22141589280862e-13
"Odc1",6.64578661485837e-18,0.942721271672571,0.649,0.5,1.23099905467022e-13
"Rpl41",7.01127052338234e-18,0.304822522274082,1,1,1.29869763904611e-13
"Clca3a1",8.9511910567365e-18,6.19362483692123,0.073,0,1.6580291194393e-13
"Gm47015",1.19658873758067e-17,1.83105475753652,0.208,0.067,2.21644131862068e-13
"Serpine2",1.39314203028923e-16,1.57308026736612,0.362,0.189,2.58051698270474e-12
"Rps26",3.34968923027935e-16,0.351769077665272,0.991,0.992,6.20462936124644e-12
"Rpl17",2.76003326349684e-15,-0.263089432566085,1,0.999,5.1124096139752e-11
"Styk1",3.06350755914539e-15,-1.1528888962444,0.189,0.371,5.67453505180501e-11
"mt-Nd4",4.26898766009048e-15,0.445322569819059,0.938,0.881,7.9074458427856e-11
"mt-Nd4l",5.81801704418934e-15,1.03247004510665,0.388,0.218,1.07767129709519e-10
"Airn",6.58999603097992e-15,-0.861657598579957,0.301,0.49,1.22066496481841e-10
"2900026A02Rik",1.54409118558702e-14,-1.81614293932759,0.062,0.199,2.86012010306283e-10
"Klrc3",1.73365096074222e-14,2.20956638079025,0.127,0.03,3.21124167458281e-10
"Il7r",1.78699029769749e-14,0.743637033639272,0.682,0.529,3.31004212842505e-10
"Rpl9",3.58776116371687e-14,-0.224816521610153,0.998,1,6.64561000355276e-10
"Plxdc2",4.696547523034e-14,1.22571846663109,0.244,0.104,8.69941497691588e-10
"mt-Co3",5.26938870409711e-14,-0.282469869465484,0.998,1,9.76048869659908e-10
"Eno1",5.72000617927842e-14,-0.846377513320063,0.394,0.553,1.05951674458774e-09
"Rps14",1.0011166691892e-13,-0.199895121879988,1,0.999,1.85436840633916e-09
