"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"4889",1.77515801737756e-129,1.73658695667801,0.284,0.08,3.28812519558845e-125,"7","Myof"
"4890",0,1.73604291524542,0.962,0.611,0,"7","Cd44"
"4891",2.79301948015836e-41,1.73479776411106,0.098,0.029,5.17350998309733e-37,"7","Arl11"
"4892",1.8262900293251e-50,1.73044010587407,0.131,0.04,3.38283702131888e-46,"7","Acvr1b"
"4893",8.08007978573348e-298,1.72947538762165,0.49,0.116,1.49667317871141e-293,"7","Naaa"
"4894",1.30174832490862e-19,1.72543102975252,0.048,0.015,2.41122842222824e-15,"7","Tmtc3"
"4895",6.85489830295957e-31,1.7235867405389,0.078,0.024,1.2697328126572e-26,"7","Lrp5"
"4896",8.0911039315076e-40,1.71970750499144,0.101,0.031,1.49871518123315e-35,"7","Acvr1"
"4897",3.79711906614859e-20,1.71921001821968,0.051,0.016,7.03340364622703e-16,"7","Olr1"
"4898",2.33749663739152e-73,1.71879524540883,0.173,0.05,4.32974502144031e-69,"7","Atg4c"
"4899",2.1572929698777e-213,1.71723800946295,0.596,0.223,3.99595376810446e-209,"7","Sbno2"
"4900",1.27192313111584e-160,1.71703348463522,0.384,0.117,2.35598321576587e-156,"7","Slc16a10"
"4901",4.76571303783289e-95,1.71701324202678,0.245,0.077,8.82753025997787e-91,"7","Heatr1"
"4902",8.97711094826314e-31,1.71686255442016,0.078,0.024,1.66283026094678e-26,"7","Pcyox1"
"4903",2.84276321155194e-117,1.71683705260538,0.269,0.078,5.26565029675766e-113,"7","Gm6377"
"4904",1.5867162264883e-145,1.716316787031,0.352,0.107,2.93907446632429e-141,"7","E230029C05Rik"
"4905",6.48913614944315e-17,1.71504163140589,0.041,0.013,1.20198268896135e-12,"7","Tbc1d2"
"4906",4.36802426840029e-127,1.71308403389341,0.338,0.11,8.09089135235785e-123,"7","AI504432"
"4907",7.6506929603593e-111,1.70772135158554,0.259,0.076,1.41713785704735e-106,"7","Erlin1"
"4908",0,1.70771224496108,0.741,0.258,0,"7","Nrros"
"4909",9.67892219963035e-142,1.70722719332042,0.323,0.093,1.79282675903753e-137,"7","Bst1"
"4910",2.53761534910116e-37,1.70557595637686,0.091,0.027,4.70042491114008e-33,"7","Gapt"
"4911",9.12140856674068e-126,1.70529327822804,0.295,0.087,1.68955850881738e-121,"7","Rab32"
"4912",1.53895696676877e-134,1.70401762204083,0.285,0.077,2.85060998954579e-130,"7","Pygl"
"4913",7.97571208630354e-228,1.7031395221275,0.483,0.137,1.477341149746e-223,"7","March1"
"4914",2.63088660395763e-61,1.70278736920844,0.172,0.056,4.87319125651071e-57,"7","Naip5"
"4915",7.43554725726043e-32,1.70118348350585,0.087,0.027,1.37728641846235e-27,"7","Wwc2"
"4916",4.99948309658545e-24,1.70052786202631,0.064,0.02,9.26054253980523e-20,"7","4930455G09Rik"
"4917",1.36724390391711e-48,1.70017142100143,0.122,0.037,2.53254588322567e-44,"7","A530064D06Rik"
"4918",4.4048738675972e-19,1.69864763884751,0.051,0.016,8.1591478649503e-15,"7","Jup"
"4919",1.985559793161e-103,1.6961731873822,0.353,0.135,3.67785240487212e-99,"7","Pou2f2"
"4920",0,1.69387493906775,0.847,0.23,0,"7","Lst1"
"4921",1.60516238883121e-115,1.69165111135942,0.242,0.065,2.97324229283205e-111,"7","Tlr13"
"4922",8.19350886566504e-40,1.68909246131155,0.106,0.033,1.51768364718714e-35,"7","Tirap"
"4923",3.43784892674864e-20,1.68822927351827,0.052,0.016,6.3679275670165e-16,"7","Palm"
"4924",1.16915901237192e-145,1.68731368103864,0.429,0.156,2.1656332386165e-141,"7","Cd244a"
"4925",3.32639702065962e-178,1.68721395731381,0.458,0.151,6.16148520136782e-174,"7","Pgd"
"4926",2.52301140229902e-113,1.68334073790213,0.268,0.078,4.67337402047847e-109,"7","Pla2g4a"
"4927",2.3287616265217e-94,1.68137790677334,0.204,0.056,4.31356516080615e-90,"7","Irak3"
"4928",6.93633248761515e-234,1.67841995299028,0.497,0.143,1.28481686668095e-229,"7","Ccdc88a"
"4929",6.44765536760592e-107,1.67709248230324,0.274,0.085,1.19429920374164e-102,"7","Slc8b1"
"4930",0,1.67706413487166,0.991,0.515,0,"7","Lyn"
"4931",4.48711746087307e-71,1.67553855158208,0.165,0.047,8.31148767277518e-67,"7","Itgb5"
"4932",3.04511865388957e-162,1.67374687446359,0.384,0.115,5.64047328259965e-158,"7","Nuak2"
"4933",6.7187885633636e-103,1.67324309359442,0.271,0.086,1.24452120559184e-98,"7","Ubtd1"
"4934",0,1.67194746712614,0.765,0.225,0,"7","Plaur"
"4935",1.39746409746256e-107,1.66781695968536,0.259,0.077,2.58852274772989e-103,"7","Dram1"
"4936",0,1.66693044727647,0.624,0.176,0,"7","Fcgr2b"
"4937",1.51371746398911e-20,1.66562297640059,0.056,0.018,2.80385885854703e-16,"7","Arsa"
"4938",1.38322738833363e-48,1.66466144444073,0.137,0.044,2.56215209141038e-44,"7","Mgst3"
"4939",6.83658931626198e-74,1.66449651552863,0.179,0.053,1.26634143905121e-69,"7","Met"
"4940",1.05162283725164e-13,1.66421971294895,0.038,0.013,1.94792098144121e-09,"7","Lonrf3"
"4941",0,1.66337417618222,0.793,0.233,0,"7","Slc8a1"
